fold,train_period,val_month,test_month,model,MSE,RMSE,MAE,R2,Directional_Accuracy,Sharpe
28,2024-04→2025-03,2025-04,2025-05,CNN_LSTM,0.0005346216,0.023121886,0.017005041,0.009333014488220215,0.3333333333333333,-2.491021402039168
28,2024-04→2025-03,2025-04,2025-05,TFT,0.0005405793,0.023250362,0.016647398,-0.001706838607788086,0.5238095238095238,1.7126019332306897
29,2024-05→2025-04,2025-05,2025-06,TCN,0.00029130332,0.017067611,0.014078702,0.003308892250061035,0.6,2.587717738988366
29,2024-05→2025-04,2025-05,2025-06,LSTM,0.0002805455,0.016749492,0.013755582,0.04011666774749756,0.75,5.794665781240531
29,2024-05→2025-04,2025-05,2025-06,Transformer,0.0003091935,0.0175839,0.0142987715,-0.05790221691131592,0.55,-0.44930251132955873
29,2024-05→2025-04,2025-05,2025-06,CNN_LSTM,0.00032586465,0.018051721,0.014710653,-0.11494231224060059,0.4,-8.116581427301083
29,2024-05→2025-04,2025-05,2025-06,TFT,0.0002927551,0.017110089,0.014345753,-0.0016584396362304688,0.5,2.0276910560288433
30,2024-06→2025-05,2025-06,2025-07,TCN,0.00015446587,0.01242843,0.010596417,-0.11969995498657227,0.22727272727272727,-4.9946281358241285
30,2024-06→2025-05,2025-06,2025-07,LSTM,0.00016320287,0.012775088,0.01035202,-0.18303322792053223,0.4090909090909091,-4.7854926794592645
30,2024-06→2025-05,2025-06,2025-07,Transformer,0.00015952998,0.012630518,0.010804976,-0.15640902519226074,0.45454545454545453,-0.2543146128059337
30,2024-06→2025-05,2025-06,2025-07,CNN_LSTM,0.0002272847,0.015075965,0.011816662,-0.6475528478622437,0.4090909090909091,-5.039578047102651
30,2024-06→2025-05,2025-06,2025-07,TFT,0.00013811694,0.011752317,0.009003136,-0.0011889934539794922,0.7272727272727273,4.576824643129165
31,2024-07→2025-06,2025-07,2025-08,TCN,0.00019686088,0.014030713,0.009969868,-0.2973676919937134,0.42857142857142855,-4.619226452882132
31,2024-07→2025-06,2025-07,2025-08,LSTM,0.00015194737,0.012326693,0.009478773,-0.0013751983642578125,0.6190476190476191,6.931346621392251
31,2024-07→2025-06,2025-07,2025-08,Transformer,0.000171958,0.013113276,0.009642405,-0.13325083255767822,0.6190476190476191,6.931346621392251
31,2024-07→2025-06,2025-07,2025-08,CNN_LSTM,0.00016559527,0.012868382,0.009491321,-0.09131860733032227,0.6190476190476191,6.931346621392251
31,2024-07→2025-06,2025-07,2025-08,TFT,0.00015347234,0.012388395,0.009494973,-0.011425256729125977,0.6190476190476191,6.931346621392251
32,2024-08→2025-07,2025-08,2025-09,TCN,0.0005493637,0.02343851,0.013269744,-0.0573045015335083,0.5238095238095238,5.106342470327587
